Unnamed: 0,H,M,S,Nome,Maquina,IP,Anomalia,Fator_risco
0,16,29,4,theteacher@empresax.COM.BR,empresaxLAB02$,192.168.100.57,0,9.97659071652442
1,14,12,4,pogó@empresax.COM.BR,empresaxLAB05$,192.168.100.66,0,0.13595560027141684
2,12,55,4,jinx@empresax.COM.BR,empresaxLAB03$,192.168.100.60,0,23.72473994964802
3,18,22,4,kael-el@empresax.COM.BR,empresaxWKSLEN02$,192.168.100.55,0,7.539249188331759
4,12,3,4,maryjane@empresax.COM.BR,empresaxLAB04$,192.168.100.58,0,24.796953322255206
5,15,21,4,kael-el@empresax.COM.BR,empresaxWKSLEN02$,192.168.100.55,0,4.299170531977269
6,22,52,4,mutley@empresax.COM.BR,HYPERV$,192.168.102.221,1,
7,19,14,5,theteacher@empresax.COM.BR,empresaxLAB02$,192.168.100.57,0,59.6385484326653
8,12,41,5,theteacher@empresax.COM.BR,empresaxLAB02$,192.168.100.57,0,31.56451248348344
9,15,7,5,maryjane@empresax.COM.BR,empresaxLAB04$,192.168.100.58,0,3.805219091858251
10,16,36,5,laracroft@empresax.COM.BR,empresaxWKS13A$,192.168.109.53,0,2.2051621076772565
11,14,33,5,hanskelsen@empresax.COM.BR,empresaxWKS05$,192.168.100.59,0,6.682210797763343
12,15,0,5,magaiver@empresax.COM.BR,empresaxWKS14A$,192.168.100.69,0,0.10717293227660796
13,13,55,5,hanskelsen@empresax.COM.BR,empresaxWKS05$,192.168.100.59,0,23.863480206289882
14,14,50,5,magaiver@empresax.COM.BR,empresaxWKS14A$,192.168.100.69,0,1.1219508508078258
15,14,49,5,magaiver@empresax.COM.BR,empresaxWKS14A$,192.168.100.69,0,5.851817921303722
16,17,32,5,hanskelsen@empresax.COM.BR,empresaxWKS05$,192.168.100.59,0,8.188012230216142
17,12,21,5,magaiver@empresax.COM.BR,empresaxWKS14A$,192.168.100.69,0,27.932578111533992
18,15,54,5,magaiver@empresax.COM.BR,empresaxWKS14A$,192.168.100.69,0,0.8998320286054318
19,17,17,5,pogó@empresax.COM.BR,empresaxLAB05$,192.168.100.66,0,8.609115652682718
20,14,45,3,hanskelsen@empresax.COM.BR,empresaxWKS05$,192.168.100.59,0,6.739137573390986
21,17,47,3,backwidow@empresax.COM.BR,empresaxWKSS06$,192.168.100.68,0,5.451243247688645
22,12,38,3,backwidow@empresax.COM.BR,empresaxWKSS06$,192.168.100.68,0,39.83068390813273
23,12,39,3,hanskelsen@empresax.COM.BR,empresaxWKS05$,192.168.100.59,0,37.2353774689916
24,14,9,3,pogó@empresax.COM.BR,empresaxLAB05$,192.168.100.66,0,2.9882616003847806
25,17,50,3,jinx@empresax.COM.BR,empresaxLAB03$,192.168.100.60,0,0.2111033716162658
26,20,3,3,jinx@empresax.COM.BR,empresaxLAB03$,192.168.100.60,0,56.81649694037065
27,11,50,3,kael-el@empresax.COM.BR,empresaxWKSLEN02$,192.168.100.55,0,0.004620933247094783
28,13,1,3,hanskelsen@empresax.COM.BR,empresaxWKS05$,192.168.100.59,0,29.15304954161944
29,14,10,3,kael-el@empresax.COM.BR,empresaxWKSLEN02$,192.168.100.55,0,1.2825803240892786
30,17,16,3,pogó@empresax.COM.BR,empresaxLAB05$,192.168.100.66,0,7.951970964592463
31,2,37,2,mutley@empresax.COM.BR,HYPERV$,192.168.102.221,1,96.33544185708571
32,16,40,5,magaiver@empresax.COM.BR,empresaxWKS14A$,192.168.100.55,0,6.03245352608205
33,16,46,5,theteacher@empresax.COM.BR,empresaxLAB02$,192.168.100.58,0,3.468183243628542
34,16,40,5,pogó@empresax.COM.BR,empresaxTAB01$,172.25.0.43,0,0.893021383022049
35,18,2,5,maryjane@empresax.COM.BR,empresaxLAB04$,192.168.100.62,0,0.009974815820434912
36,18,28,5,hanskelsen@empresax.COM.BR,empresaxWKS05$,192.168.100.64,0,9.21181789732055
37,18,0,5,theteacher@empresax.COM.BR,empresaxLAB02$,192.168.100.58,0,1.1670571044977263
38,16,50,5,hanskelsen@empresax.COM.BR,empresaxWKS05$,192.168.100.64,0,7.420409146919865
39,9,44,5,hanskelsen@empresax.COM.BR,HYPERV$,192.168.100.64,0,3.930632818430727
40,11,43,5,theteacher@empresax.COM.BR,empresaxLAB02$,192.168.100.58,0,9.279415009191315
41,12,27,5,laracroft@empresax.COM.BR,empresaxWKS13A$,192.168.100.65,0,29.868270662639674
42,13,23,5,backwidow@empresax.COM.BR,empresaxWKSS06$,192.168.100.68,1,20.298825586539575
43,13,29,5,hanskelsen@empresax.COM.BR,HYPERV$,192.168.100.64,0,36.01126364651249
44,13,46,5,kael-el@empresax.COM.BR,empresaxWKSLEN02$,192.168.100.59,0,23.901117114943645
45,14,13,5,hanskelsen@empresax.COM.BR,empresaxWKS05$,192.168.100.64,0,7.526602743349608
46,14,10,5,dora@empresax.COM.BR,empresaxNOTE-LAB03$,192.168.100.66,0,1.751923272418171
47,14,36,5,maryjane@empresax.COM.BR,empresaxLAB04$,192.168.100.62,0,2.968896674815081
48,15,47,5,theteacher@empresax.COM.BR,empresaxLAB02$,192.168.100.58,0,5.068851173261411
49,15,54,5,hanskelsen@empresax.COM.BR,HYPERV$,192.168.100.64,0,1.8112544141979126
50,15,59,5,backwidow@empresax.COM.BR,empresaxWKSS06$,192.168.100.68,0,2.048041151137526
51,15,59,5,theteacher@empresax.COM.BR,empresaxLAB02$,192.168.100.58,0,3.0924574082250658
52,16,20,5,hanskelsen@empresax.COM.BR,empresaxWKS05$,192.168.100.64,0,7.517084849985447
53,16,20,5,kael-el@empresax.COM.BR,empresaxWKSLEN02$,192.168.100.59,0,7.403159531733904
54,16,41,5,magaiver@empresax.COM.BR,empresaxWKS14A$,192.168.100.61,0,5.527466356441014
55,16,45,5,jinx@empresax.COM.BR,empresaxLAB03$,192.168.100.57,0,5.383132442811917
56,17,56,5,backwidow@empresax.COM.BR,empresaxWKSS06$,192.168.100.68,0,8.269203923764811
57,18,59,5,pogó@empresax.COM.BR,empresaxTAB01$,192.168.100.75,0,9.289672951030123
58,19,9,5,kael-el@empresax.COM.BR,empresaxWKSLEN02$,192.168.100.59,0,56.026734342293985
59,19,11,5,maryjane@empresax.COM.BR,empresaxLAB04$,192.168.100.62,0,56.898866317722366
60,19,18,5,jinx@empresax.COM.BR,empresaxLAB03$,192.168.100.57,0,57.69099775060141
61,19,21,5,magaiver@empresax.COM.BR,empresaxWKS14A$,192.168.100.61,0,59.885235539045055
62,19,31,5,hanskelsen@empresax.COM.BR,HYPERV$,192.168.100.64,0,59.232426900305036
63,20,20,5,hanskelsen@empresax.COM.BR,HYPERV$,192.168.100.64,0,57.7688161481914
64,20,20,5,jinx@empresax.COM.BR,empresaxLAB03$,192.168.100.57,0,58.95604305115624
65,20,19,5,hanskelsen@empresax.COM.BR,empresaxWKS05$,192.168.100.64,0,54.48273407856438
66,20,27,5,kael-el@empresax.COM.BR,empresaxWKSLEN02$,192.168.100.59,0,58.10305896401193
67,21,11,5,hanskelsen@empresax.COM.BR,empresaxWKS05$,192.168.100.64,0,54.653841858742176
68,21,12,1,hanskelsen@empresax.COM.BR,empresaxWKS05$,192.168.100.59,0,52.70882624896815
69,1,23,2,pogó@empresax.COM.BR,empresaxLAB05$,192.168.100.66,1,92.72482592031136
70,20,57,1,hanskelsen@empresax.COM.BR,empresaxWKS05$,192.168.100.59,0,59.25442046206084
71,20,52,1,hanskelsen@empresax.COM.BR,empresaxWKS05$,192.168.100.59,0,56.779085399718234
72,20,57,1,jinx@empresax.COM.BR,empresaxLAB03$,192.168.100.60,0,58.45078476271618
73,5,4,4,hanskelsen@empresax.COM.BR,HYPERV$,192.168.100.64,0,97.79748409891877
74,6,25,4,hanskelsen@empresax.COM.BR,HYPERV$,192.168.100.64,0,48.469163905320386
75,11,4,4,mutley@empresax.COM.BR,HYPERV$,192.168.102.221,0,1.3410092119257977
76,12,6,4,hanskelsen@empresax.COM.BR,HYPERV$,192.168.100.64,0,25.053226651244323
77,13,6,4,hanskelsen@empresax.COM.BR,HYPERV$,192.168.100.64,0,28.42409113461555
78,14,8,4,theteacher@empresax.COM.BR,empresaxLAB02$,192.168.100.58,0,1.192536767791419
79,14,22,4,hanskelsen@empresax.COM.BR,empresaxWKS05$,192.168.100.64,0,6.143064602700651
80,15,3,4,sid@empresax.COM.BR,empresaxWKS11$,192.168.100.78,0,6.887220452043179
81,16,33,4,magaiver@empresax.COM.BR,empresaxWKS14A$,192.168.100.59,0,7.45031810450959
82,16,48,4,backwidow@empresax.COM.BR,empresaxWKSS06$,192.168.100.68,0,9.827930656340463
83,17,2,4,kael-el@empresax.COM.BR,empresaxWKSLEN02$,192.168.100.54,0,1.191439769770023
84,16,54,4,hanskelsen@empresax.COM.BR,HYPERV$,192.168.100.64,0,1.3897675203321214
85,17,44,4,hanskelsen@empresax.COM.BR,empresaxWKS05$,192.168.100.64,0,5.068348669342308
86,18,15,4,hanskelsen@empresax.COM.BR,HYPERV$,192.168.100.64,0,6.03020892442542
87,19,43,4,backwidow@empresax.COM.BR,empresaxWKSS06$,192.168.100.68,1,59.53815562765325
88,20,11,4,maryjane@empresax.COM.BR,empresaxLAB04$,192.168.100.62,0,54.530003057159476
89,20,23,4,pogó@empresax.COM.BR,empresaxTAB01$,192.168.100.67,0,58.01362374382343
90,13,6,4,hanskelsen@empresax.COM.BR,HYPERV$,192.168.100.64,0,22.798930148342013
91,14,8,4,theteacher@empresax.COM.BR,empresaxLAB02$,192.168.100.58,0,2.9916233481267698
92,14,22,4,hanskelsen@empresax.COM.BR,empresaxWKS05$,192.168.100.64,0,5.261099518134093
93,15,3,4,sid@empresax.COM.BR,empresaxWKS11$,192.168.100.78,0,9.093501032068193
94,16,33,4,magaiver@empresax.COM.BR,empresaxWKS14A$,192.168.100.59,0,8.969685039703602
95,16,48,4,backwidow@empresax.COM.BR,empresaxWKSS06$,192.168.100.68,0,2.0549576755194487
96,17,2,4,kael-el@empresax.COM.BR,empresaxWKSLEN02$,192.168.100.54,0,9.278814662706814
97,16,54,4,hanskelsen@empresax.COM.BR,HYPERV$,192.168.100.64,0,2.6384588329887904
98,17,44,4,hanskelsen@empresax.COM.BR,empresaxWKS05$,192.168.100.64,0,6.268057567058484
99,18,15,4,hanskelsen@empresax.COM.BR,HYPERV$,192.168.100.64,0,8.3566771416351
100,19,43,4,backwidow@empresax.COM.BR,empresaxWKSS06$,192.168.100.68,1,55.95378016646258
101,20,11,4,maryjane@empresax.COM.BR,empresaxLAB04$,192.168.100.62,0,54.13521681671625
102,20,23,4,pogó@empresax.COM.BR,empresaxTAB01$,192.168.100.67,0,57.531573804148074
103,5,4,4,hanskelsen@empresax.COM.BR,HYPERV$,192.168.100.64,0,97.75110335163411
104,6,25,4,hanskelsen@empresax.COM.BR,HYPERV$,192.168.100.64,0,48.686138805480084
105,11,4,4,mutley@empresax.COM.BR,HYPERV$,192.168.102.221,0,6.802295893640489
106,12,6,4,hanskelsen@empresax.COM.BR,HYPERV$,192.168.100.64,0,29.86412102193692
107,11,50,5,kael-el@empresax.COM.BR,empresaxWKSLEN02$,192.168.109.52,1,6.8661542498064785
108,12,12,5,jinx@empresax.COM.BR,empresaxLAB03$,192.168.100.60,0,34.24301692692129
109,8,37,5,mutley@empresax.COM.BR,HYPERV$,192.168.102.221,0,42.80820713847818
110,14,10,5,backwidow@empresax.COM.BR,empresaxWKSS06$,192.168.100.68,0,3.682319193047899
111,16,40,5,backwidow@empresax.COM.BR,empresaxWKSS06$,192.168.100.68,0,2.831825479288963
112,16,47,5,magaiver@empresax.COM.BR,empresaxWKS14A$,192.168.100.69,0,4.0659644027299215
113,15,40,5,jinx@empresax.COM.BR,empresaxLAB03$,192.168.100.60,0,9.791937959060625
114,18,22,5,mutley@empresax.COM.BR,HYPERV$,192.168.102.221,0,6.080274659739084
115,15,1,5,kael-el@empresax.COM.BR,empresaxWKSLEN02$,192.168.109.52,1,7.016449066532075
116,15,6,5,theteacher@empresax.COM.BR,empresaxLAB02$,192.168.100.57,0,3.7163833801296264
117,18,1,5,theteacher@empresax.COM.BR,empresaxLAB02$,192.168.100.57,0,9.824871126455442
118,18,52,0,mutley@empresax.COM.BR,HYPERV$,192.168.102.221,0,4.977001509507577
119,9,7,0,mutley@empresax.COM.BR,HYPERV$,192.168.102.221,0,5.812042221327528
120,14,49,3,hanskelsen@empresax.COM.BR,empresaxWKS05$,192.168.100.59,0,7.716524227067922
121,20,47,3,hanskelsen@empresax.COM.BR,empresaxWKS05$,192.168.100.59,0,51.846855043142426
122,13,34,3,kael-el@empresax.COM.BR,empresaxWKSLEN02$,192.168.100.55,0,34.6584348644855
123,20,12,3,backwidow@empresax.COM.BR,empresaxWKSS06$,192.168.100.68,1,50.440617492006034
124,20,21,3,theteacher@empresax.COM.BR,empresaxLAB02$,192.168.100.57,0,51.91460800500587
125,13,41,3,theteacher@empresax.COM.BR,empresaxLAB02$,192.168.100.57,0,26.4873705886396
126,12,47,3,maryjane@empresax.COM.BR,empresaxLAB04$,192.168.100.58,0,33.41024609682354
127,12,46,3,kael-el@empresax.COM.BR,empresaxWKSLEN02$,192.168.100.55,0,34.37289475528201
